emcee_id,emcee_name
1,$tep G
2,2khelle
3,3rdy
4,AKT
5,Aaron G
6,Abaddon
7,Abra
8,Acid
9,Aelekz
10,Aklas
11,Andros
12,Andy G
13,Antonym
14,Antz
15,Anygma
16,Apekz
17,Apoc
18,Ares
19,Arma
20,Article Clipted
21,Asero
22,Asjo
23,Asser
24,Atoms
25,Aubrey
26,Aztec
27,BLKD
28,BLZR
29,Badang
30,Bagsik
31,Ban
32,Barbarian
33,Bassilyo
34,Batang Rebelde
35,Batang X
36,Batas
37,Bender
38,Big Sick
39,Bisente
40,Bizzy
41,Blackfaith
42,Blackleaf
43,Blasian
44,Blizzard
45,Bogchick
46,Bonet
47,Bords
48,C-Quence
49,CJ
50,CNine
51,CRhyme
52,Caliber
53,Cameltoe
54,Caspher
55,Castillo
56,Castyboy
57,Caytriyu
58,Cedie
59,Cerberus
60,Chaliz
61,Charron
62,Chibi
63,Chris Ace
64,Chung
65,Class G
66,Classico
67,Climax
68,Cloud9
69,Cool Kidd
70,Cors
71,Crazy3ck
72,Crazymix
73,Cricket
74,CripLi
75,Crispy Fetus
76,Crypto
77,Cygnus
78,D-Flow Uno
79,Daddy Joe D
80,Daging
81,Dalmacio Armas
82,Damsa
83,Datu
84,Dave Denver
85,Dave Ill
86,Davera
87,Deadline
88,Dee
89,Dello
90,Depekto
91,Derekta
92,Dhictah
93,Dhuski
94,Dilim
95,DimeBag Daryl
96,Dirtbag Dan
97,Doc Pau
98,Dodong Saypa
99,Don Busabos
100,Don Pao
101,Don Rafael
102,Donnie
103,Dopee
104,Dosage
105,Double D
106,Double Dice
107,Drei
108,Driex
109,Drop D
110,Duma
111,Durante
112,EJ Power
113,Earth-J
114,Ejo
115,El D'no
116,El Quiel
117,Elbiz
118,Elias
119,Emar Industriya
120,Empithri
121,Ets
122,Eveready
123,Fangs
124,Ferdie
125,Fernie
126,Flict-G
127,Flipzydot1
128,Fongger
129,Freek
130,Frinze
131,Frooz
132,Fuego
133,Fukuda
134,G-Clown
135,G-Mar
136,G-Spot
137,GI
138,GL
139,Gameboy
140,Gap
141,Ghandi
142,Gin
143,Goriong Talas
144,Gustav
145,Harlem
146,Harvey
147,Hazky
148,Hearty
149,Hempphil
150,Henz
151,Hespero
152,Hizuka
153,Icaruz
154,Ice
155,Ice Bergg
156,Ilaya
157,Illtimate
158,Invictus
159,Ivar
160,J-Blaque
161,J-King
162,J-Lem
163,J-Skeelz
164,J2DP
165,JB
166,JDee
167,JP
168,JR Zero
169,Jade Wunn
170,Jaffie
171,Jahmen J
172,Jamal
173,James Overman
174,Jamy Sykes
175,Jawz
176,Jaytee
177,Jecoy
178,JedLi
179,Jhapormz
180,Jigsaw
181,Jojo
182,Jonas
183,Jorer
184,Josh G
185,Juan Tamad
186,K-Ram
187,K-Vill
188,KJah
189,KJap
190,Kahir
191,Kalidido
192,Kalixs
193,Kamandag
194,Kaream
195,Karisma
196,Katana
197,Keelan
198,Keji
199,Kenzer
200,Khen Magat
201,Kial
202,Kidd Pute
203,Krack
204,Kregga
205,Kris Delano
206,Kritiko
207,Kros
208,Krusa
209,Kuscan
210,Lanzeta
211,Lawrence
212,Lax Hartis
213,Lazta
214,Left Eye Blind
215,Lemi
216,Lhipkram
217,Libs
218,Lil Coli
219,Lil Sisa
